Index,ECG,PPG_G,PPG_R,PPG_IR,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,
179,-0.0892643,27617,108905,114140,0.3701172,-0.9384766,0.1220703,-7.6219512,8.1097561,-2.6219512,
179,-0.0892643,27617,108906,114139,0.3579102,-0.9296875,0.1235352,-7.7439024,7.1951220,-1.8292683,
179,-0.0900272,27625,108921,114154,0.3486328,-0.9282227,0.1225586,-7.8048780,6.3414634,-1.1585366,
179,-0.0900272,27627,108923,114154,0.3408203,-0.9282227,0.1269531,-7.8048780,5.6707317,-0.5487805,
179,-0.0888828,27636,108933,114159,0.3481445,-0.9306641,0.1235352,-7.6829268,5.1219512,0.0609756,
179,-0.0885013,27632,108951,114170,0.3481445,-0.9355469,0.1230469,-7.5000000,4.6951220,0.6097561,
179,-0.0877384,27638,108941,114169,0.3510742,-0.9375000,0.1210938,-7.3780488,4.4512195,1.0975610,
180,-0.0858310,27649,108949,114181,0.3520508,-0.9414063,0.1181641,-7.1951220,4.2073171,1.5243902,
180,-0.0816348,27660,108948,114172,0.3579102,-0.9423828,0.1123047,-6.7682927,3.9634146,1.8292683,
180,-0.0797275,27654,108946,114166,0.3696289,-0.9428711,0.1152344,-6.0365854,3.7195122,2.0731707,
180,-0.0804904,27659,108949,114184,0.3701172,-0.9414063,0.1176758,-5.1219512,3.2926829,2.2560976,
180,-0.0816348,27660,108950,114159,0.3735352,-0.9394531,0.1206055,-3.9634146,2.8658537,2.4390244,
180,-0.0759128,27667,108944,114176,0.3774414,-0.9360352,0.1240234,-2.8048780,2.5609756,2.7439024,
180,-0.0606539,27663,108953,114158,0.3808594,-0.9340820,0.1250000,-1.8902439,2.3780488,3.0487805,
181,-0.0438692,27679,108949,114147,0.3789063,-0.9291992,0.1220703,-0.7926829,2.3170732,3.5975610,
181,-0.0343324,27687,108940,114150,0.3803711,-0.9262695,0.1240234,0.2439024,2.3780488,4.2073171,
